Rk,Team,Region,Seed,Conf,W-L,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjTempo,AdjT Rank,Luck,Luck Rank
1,Connecticut,East, 1,BE,31-3,32.21,126.6,1,94.4,11,64.5,329,0.047,70
2,Houston,South, 1,B12,30-4,31.72,118.9,17,87.1,2,63.3,348,0.053,61
3,Purdue,Midwest, 1,B10,29-4,29.12,125,4,95.9,21,67.4,175,0.045,75
4,Auburn,East, 4,SEC,27-7,28.9,120.6,10,91.7,4,69.8,58,-0.067,324
5,Iowa St.,East, 2,B12,27-7,26.72,113.9,55,87.1,1,67.3,179,0.012,155
6,Arizona,West, 2,P12,25-8,26.62,121.1,8,94.5,12,71.8,16,-0.043,288
7,Tennessee,Midwest, 2,SEC,24-8,25.97,117,29,91,3,69.2,79,-0.03,265
8,Duke,South, 4,ACC,24-8,24.88,121.8,7,97,26,66.7,231,-0.077,333
9,North Carolina,West, 1,ACC,27-7,24.65,117.8,24,93.2,6,70.4,41,-0.024,249
10,Illinois,East, 3,B10,26-8,23.99,125.6,3,101.6,93,69.9,56,-0.032,270
11,Creighton,Midwest, 3,BE,23-9,23.4,120.1,12,96.7,24,67,207,-0.013,220
12,Marquette,South, 2,BE,25-9,22.74,118.3,21,95.6,19,69,91,0.036,98
13,Alabama,West, 4,SEC,21-11,22.48,125.6,2,103.1,112,72.6,9,-0.028,261
14,Baylor,West, 3,B12,23-10,22.3,122.5,6,100.2,64,65.6,281,-0.004,196
15,Gonzaga,Midwest, 5,WCC,25-7,21.56,121,9,99.4,46,69.1,83,-0.052,301
16,BYU,East, 6,B12,23-10,21.01,120.5,11,99.5,48,69.1,85,-0.034,274
17,Wisconsin,South, 5,B10,22-13,20.6,120.1,13,99.5,47,65.2,307,-0.031,266
18,Michigan St.,West, 9,B10,19-14,20.03,113.8,57,93.7,8,65.2,305,-0.104,355
19,Kentucky,South, 3,SEC,23-9,20.02,122.7,5,102.7,108,72.6,11,-0.027,257
20,Saint Mary's,West, 5,WCC,26-7,19.89,114.9,45,95,16,61.9,358,0.02,133
21,San Diego St.,East, 5,MWC,24-10,19.7,113.5,62,93.8,9,66,266,-0.032,268
22,Kansas,Midwest, 4,B12,22-10,19.23,113.4,65,94.2,10,68.9,92,0.048,69
23,New Mexico ,West,11,MWC,26-9,18.94,115.4,41,96.5,23,72.7,8,-0.021,244
24,Texas Tech,South, 6,B12,23-10,18.54,117.9,23,99.4,45,66.6,234,0.04,89
